#_prom,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,#,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
1,JERRICK HARDING,AND,30,26.6,20.0,6.7,13.9,0.486,2.1,5.6,0.371,4.5,5.1,0.882,0.8,1.5,2.2,1.8,1.1,0.2,1.8,2.5,12,0.621,0.56,173.8,3.7,7.1,5.4,13.0,10.2,2.2,0.7,30.8,-2.3,1.4,123.9,122.4,1.6,286.0,22.4,799.4,PG,151,0,0,0,0,0,1,0,36,0,0.276,1.0,0.6,0.4,12,18,0.4,2.9,0.1,3.0,MORABANC ANDORRA
2,DERRICK ALSTON JR.,MAN,34,25.4,16.9,5.6,12.5,0.445,2.1,6.6,0.318,3.6,4.5,0.816,1.2,3.0,4.2,1.8,0.9,0.2,2.1,1.9,39,0.582,0.528,157.9,5.4,15.5,10.2,13.4,12.8,1.9,0.9,28.5,-3.6,1.3,114.3,109.1,5.2,309.0,18.5,864.4,,55,0,0,0,0,0,0,0,29,0,0.249,0.8,0.4,0.4,17,17,0.5,1.4,1.7,3.1,BAXI MANRESA
3,DYLAN ENNIS,MUR,34,28.4,16.6,5.6,12.6,0.445,1.8,5.5,0.333,3.5,4.8,0.735,0.7,2.1,2.9,3.5,1.2,0.2,1.6,2.6,35,0.563,0.517,151.3,3.1,9.2,6.1,23.6,9.6,2.3,0.9,26.7,2.7,1.3,116.0,109.1,6.9,331.0,18.6,965.7,G,206,0,0,0,0,0,0,0,28,0,0.311,2.2,0.8,0.4,17,17,0.5,1.8,1.9,3.7,CB GIRONA
4,JEAN MONTERO,VAL,32,23.9,16.5,5.7,12.3,0.466,2.1,5.7,0.368,3.0,3.5,0.856,1.2,2.5,3.7,4.6,1.2,0.1,1.6,1.2,2,0.598,0.551,169.0,5.9,12.1,9.1,31.4,10.2,2.6,0.5,28.2,6.3,1.3,132.8,111.2,21.6,410.4,25.4,765.1,PG,23,1,0,0,0,0,0,0,36,0,0.299,3.0,0.8,0.3,24,8,0.75,4.0,1.3,5.3,VALENCIA BASKET
5,JAMES BATEMON III,FOR,14,26.8,16.2,4.6,10.6,0.432,1.7,4.9,0.348,5.4,6.4,0.843,0.8,2.3,3.1,2.6,0.9,0.1,1.9,2.5,33,0.606,0.514,162.3,3.3,10.9,6.9,19.7,12.2,1.8,0.7,25.7,-0.4,1.5,120.8,117.8,3.0,126.1,18.6,375.2,G,63,0,0,0,0,0,0,0,24,0,0.266,1.4,0.5,0.6,5,9,0.357,1.0,0.3,1.3,RIO BREOGAN
6,AMINE NOUA,GRA,33,29.0,16.1,5.5,12.5,0.437,1.1,4.2,0.268,4.1,4.9,0.822,1.7,4.8,6.5,1.4,1.3,1.0,2.5,2.7,52,0.549,0.482,152.7,7.1,21.7,14.1,9.3,14.6,2.3,3.7,27.3,-5.5,1.3,106.0,111.8,-5.8,327.6,17.4,957.4,F,4,5,0,0,0,0,0,0,27,0,0.244,0.5,0.5,0.4,9,24,0.273,0.1,1.5,1.6,FORCA LLEIDA CE
7,TRAE BELL-HAYNES,ZAR,34,25.8,15.1,4.8,10.2,0.47,1.3,3.6,0.361,4.2,4.9,0.867,0.8,1.6,2.4,4.8,1.4,0.1,2.6,2.5,22,0.612,0.533,169.8,3.9,8.1,6.0,30.9,17.5,2.8,0.5,25.9,2.3,1.5,121.7,118.5,3.2,342.8,20.0,876.4,G,29,1,0,0,0,0,0,0,35,0,0.299,1.8,0.5,0.5,13,21,0.382,2.6,0.6,3.2,CASADEMONT ZARAGOZA
8,MARCELINHO HUERTAS,TEN,34,24.1,15.1,5.6,11.0,0.509,1.0,2.6,0.382,2.8,3.1,0.914,0.6,1.6,2.1,7.1,0.5,0.0,3.1,1.7,10,0.608,0.555,180.6,3.4,8.9,6.3,55.7,19.8,1.1,0.1,32.3,7.3,1.4,120.3,122.0,-1.7,374.1,22.5,820.5,PG,5,5,0,0,0,0,0,0,39,0,0.418,2.3,0.2,0.3,25,9,0.735,2.9,0.2,3.1,LENOVO TENERIFE
9,MARKUS HOWARD,BASK,34,23.5,15.0,4.5,11.6,0.391,3.1,8.1,0.383,2.9,3.5,0.822,0.3,0.9,1.2,1.7,0.9,0.0,1.6,2.7,86,0.573,0.525,159.6,1.6,4.9,3.2,12.9,10.6,2.0,0.1,29.1,-1.7,1.3,113.7,122.2,-8.5,196.0,15.7,800.3,SG,117,0,0,0,0,0,1,0,38,0,0.203,1.1,0.6,0.3,18,16,0.529,1.2,0.2,1.4,BASKONIA
10,KASSIUS ROBERTSON,JOV,31,26.3,14.6,4.6,10.5,0.434,2.4,5.8,0.409,3.1,3.8,0.805,0.5,1.9,2.4,2.7,0.7,0.1,1.7,2.0,64,0.598,0.547,164.8,2.6,8.9,5.8,17.5,12.1,1.5,0.3,25.5,0.4,1.4,118.0,116.8,1.1,247.3,16.9,816.6,G,212,0,0,0,0,0,0,0,29,0,0.237,1.6,0.4,0.4,18,13,0.581,1.7,0.8,2.5,JOVENTUT BADALONA
11,ANTE TOMIC,JOV,34,24.9,14.3,5.6,9.5,0.59,0.0,0.1,0.0,3.1,4.6,0.677,1.6,5.5,7.1,2.6,0.5,0.1,1.5,1.1,6,0.622,0.59,126.7,8.6,27.2,18.2,19.6,11.3,1.0,0.6,25.2,1.0,1.5,124.6,112.0,12.5,419.3,23.8,845.3,C,1,7,0,0,0,0,0,0,24,0,0.268,1.7,0.3,0.5,19,15,0.559,2.8,1.3,4.1,JOVENTUT BADALONA
12,CHARLIE MOORE,BRE,10,31.3,14.3,5.5,12.3,0.447,1.7,4.7,0.362,1.6,2.0,0.8,0.3,1.4,1.7,4.5,1.1,0.0,3.1,2.2,164,0.542,0.516,160.9,1.1,5.8,3.4,29.8,19.0,1.9,0.0,24.3,-0.3,1.2,99.9,114.7,-14.8,70.8,12.5,312.9,PG,87,0,0,0,0,0,0,0,22,0,0.38,1.5,0.4,0.2,3,7,0.3,-0.1,0.2,0.1,DREAMLAND GRAN CANARIA
13,DAE DAE GRANT,BRE,23,25.5,14.2,4.7,11.4,0.416,2.4,6.0,0.406,2.3,2.6,0.867,0.8,2.0,2.8,3.1,0.6,0.1,2.5,2.3,114,0.565,0.523,168.8,4.1,9.2,6.7,22.7,16.5,1.2,0.6,27.8,-1.6,1.2,107.3,120.9,-13.7,162.8,14.3,587.6,G,129,0,0,0,0,0,0,0,26,0,0.272,1.2,0.2,0.2,10,13,0.435,0.2,0.2,0.4,DREAMLAND GRAN CANARIA
14,KEVIN PUNTER,FCB,35,23.0,14.1,4.5,9.3,0.488,2.2,4.8,0.462,2.8,3.1,0.908,0.4,1.4,1.8,2.2,0.9,0.1,1.7,2.0,26,0.663,0.608,185.7,2.3,7.6,5.1,15.9,13.9,2.1,0.4,25.1,-1.1,1.5,124.6,115.6,9.0,277.6,19.4,805.8,SG,196,0,0,0,0,0,0,0,37,0,0.207,1.3,0.5,0.3,21,14,0.6,2.5,0.9,3.4,BARCA
15,MARIO HEZONJA,RMB,33,24.0,13.9,4.8,10.3,0.466,2.0,5.1,0.396,2.2,2.8,0.813,0.8,4.1,4.9,1.3,1.1,0.1,1.5,1.6,30,0.602,0.565,167.6,4.3,18.8,12.2,9.6,11.8,2.4,0.4,25.4,-2.9,1.3,116.7,104.3,12.4,299.6,19.1,791.1,SG,10,3,0,0,0,0,0,0,23,0,0.202,0.8,0.7,0.3,30,3,0.909,1.4,2.1,3.5,REAL MADRID
16,EMIR SULEJMANOVIC,ZAR,31,25.4,13.7,5.5,10.4,0.53,1.3,3.2,0.418,1.4,2.3,0.629,2.4,4.8,7.2,1.3,1.3,0.4,1.4,2.8,15,0.604,0.593,157.7,11.5,24.9,18.0,9.1,11.1,2.7,1.6,22.4,-2.1,1.3,121.7,113.9,7.8,348.0,20.8,786.7,PF,6,4,0,0,0,0,0,0,26,0,0.213,0.9,0.9,0.2,11,20,0.355,1.9,1.0,2.9,CASADEMONT ZARAGOZA
17,CAMERON HUNT,MAN,31,24.6,13.7,4.6,9.5,0.486,1.7,4.3,0.403,2.7,3.1,0.876,0.8,1.2,1.9,2.6,1.0,0.2,1.8,2.5,59,0.631,0.578,176.6,3.7,6.0,4.8,19.2,14.0,2.0,1.0,22.5,-0.1,1.4,123.0,110.8,12.2,243.1,17.2,761.5,F,165,0,0,0,0,0,0,0,30,0,0.244,1.5,0.5,0.3,17,14,0.548,2.0,1.3,3.3,BAXI MANRESA
18,DARRUN HILLIARD,BRE,26,27.7,13.6,4.4,10.6,0.413,2.3,6.8,0.331,2.5,3.1,0.825,0.3,3.0,3.3,3.7,0.7,0.1,2.9,2.8,159,0.567,0.52,157.0,1.4,13.3,7.4,24.4,19.6,1.4,0.3,25.4,-1.8,1.3,103.8,117.5,-13.8,185.5,12.6,719.0,SG,225,0,0,0,0,0,0,0,33,0,0.287,1.3,0.3,0.3,11,15,0.423,-0.2,0.6,0.4,DREAMLAND GRAN CANARIA
19,JILSON BANGO,ZAR,19,20.8,13.4,5.3,8.1,0.66,0.0,0.2,0.0,2.7,4.3,0.634,2.3,3.3,5.5,0.8,0.3,0.5,1.5,2.0,4,0.672,0.66,129.4,13.7,20.1,16.9,7.4,13.3,0.8,2.9,24.3,-4.5,1.7,126.5,115.7,10.8,182.0,24.3,394.8,C,20,2,0,0,0,0,0,0,27,0,0.19,0.6,0.2,0.5,9,10,0.474,1.4,0.4,1.8,CASADEMONT ZARAGOZA
20,BRANDON TAYLOR,LBC,31,26.7,13.3,4.5,9.6,0.468,2.0,4.6,0.427,2.3,2.5,0.909,0.3,1.7,2.0,6.8,1.2,0.0,2.7,2.5,45,0.617,0.57,180.4,1.2,8.2,4.6,43.8,20.0,2.4,0.0,23.0,6.9,1.4,119.1,125.3,-6.3,333.9,17.8,829.1,PG,3,5,0,0,0,0,2,0,23,0,0.374,2.6,0.4,0.3,7,24,0.226,1.9,-0.2,1.7,CB CORUNA
21,CHIMEZIE METU,FCB,20,20.0,13.2,5.2,8.4,0.617,1.1,2.6,0.431,1.8,2.7,0.66,0.9,2.9,3.8,1.0,0.7,0.6,1.6,1.6,7,0.691,0.683,170.9,6.2,17.7,12.3,8.8,14.0,1.7,3.4,26.0,-4.4,1.6,122.9,112.8,10.1,177.1,23.5,400.4,PF,58,0,0,0,0,0,0,0,21,0,0.184,0.6,0.4,0.3,12,8,0.6,1.2,0.5,1.8,BARCA
22,DEVON DOTSON,JOV,35,25.6,13.1,4.7,10.5,0.447,1.1,3.4,0.314,2.7,3.7,0.71,0.6,1.9,2.5,4.3,1.3,0.1,2.1,2.8,66,0.539,0.497,147.1,3.1,9.0,6.1,30.2,14.6,2.7,0.6,26.8,3.3,1.2,110.5,114.0,-3.5,283.1,16.8,897.2,PG,193,0,0,0,0,0,1,0,30,0,0.3,2.1,0.6,0.4,20,15,0.571,0.9,1.2,2.0,JOVENTUT BADALONA
