#_prom,Player,Team_prom,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#_adv,Team_adv,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,MIN,Pos,Team,#,Team_misc,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,Team_completo
1,MATIJA SAMAR,CDP,28,28.1,19.8,5.8,15.0,0.383,3.3,9.3,0.352,5.0,6.1,0.825,0.4,3.7,4.0,2.1,1.1,0.0,1.9,2.7,12,CDP,0.56,0.493,156.0,0.015,0.151,0.083,0.177,0.09699999999999999,0.022000000000000002,0.0,0.324,-1.8,1.3,110.5,99.2,11.3,262.6,22.7,786.7,PG,CDP,82,CDP,1,0,1,0,0,0,0,42,0,0.313,1.1,0.6,0.4,16,12,0.571,2.8,1.5,4.3,PONFERRADA
2,DYLAN BORDON DRI,GCN,21,28.1,17.8,6.1,13.7,0.449,1.9,5.8,0.331,3.6,4.2,0.843,1.1,2.4,3.5,4.5,2.1,0.0,3.1,1.4,2,GCN,0.572,0.519,162.3,0.05,0.092,0.073,0.315,0.168,0.040999999999999995,0.2,0.29600000000000004,-0.4,1.3,113.7,99.1,14.6,245.9,25.1,589.7,G,GCN,220,GCN,0,0,0,0,0,0,0,31,0,0.363,1.4,0.7,0.3,10,11,0.476,2.5,1.1,3.6,DREAMLAND GRAN CANARIA
3,JORDI JUANOLA,HOMS,28,30.3,17.5,5.6,14.3,0.395,1.8,5.9,0.297,4.5,6.5,0.692,1.2,3.3,4.4,2.7,0.8,0.0,2.8,1.6,85,HOMS,0.511,0.456,138.4,0.045,0.11699999999999999,0.08199999999999999,0.19,0.138,0.013999999999999999,0.1,0.297,-3.1,1.2,101.3,109.0,-7.7,223.5,17.1,848.0,F,HOMS,124,HOMS,0,0,0,0,0,0,0,31,0,0.317,1.0,0.3,0.5,12,16,0.429,1.1,0.3,1.5,MATARÓ
4,FAUSTO RUESGA,BEN,26,29.3,17.5,6.2,11.9,0.523,1.5,4.3,0.348,3.5,4.8,0.722,1.7,3.6,5.3,0.9,1.0,0.0,1.9,1.7,14,BEN,0.621,0.585,159.3,0.07200000000000001,0.133,0.10400000000000001,0.06,0.12,0.019,0.1,0.258,-4.5,1.5,114.9,107.5,7.4,268.5,21.8,763.0,SF,BEN,68,BEN,1,0,0,0,0,0,0,29,0,0.248,0.5,0.5,0.4,12,14,0.462,2.7,0.5,3.2,BENICARLO
5,MICHAEL MAYS,VIRD,28,26.4,16.6,5.8,13.6,0.424,2.9,7.3,0.404,2.1,2.5,0.831,0.4,1.1,1.5,0.8,0.5,0.0,0.8,1.9,26,VIRD,0.563,0.531,165.9,0.019,0.049,0.033,0.063,0.048,1.0,0.0,0.273,-0.9,1.2,119.4,117.2,2.2,174.4,20.0,739.0,G,VIRD,160,VIRD,0,0,0,0,0,0,0,32,0,0.236,1.0,0.7,0.2,11,17,0.393,3.3,-0.6,2.7,CIUDAD DE HUELVA
6,MOR MASSAMBA DIOP,GCN,14,28.1,16.1,6.6,10.7,0.62,0.1,0.1,0.5,2.7,3.6,0.745,2.4,5.5,7.9,1.0,1.2,1.4,2.8,2.9,3,GCN,0.652,0.623,186.5,0.11,0.201,0.161,0.07200000000000001,0.184,0.023,0.05,0.24100000000000002,-7.4,1.5,114.8,91.3,23.5,176.1,24.9,393.7,C,GCN,11,GCN,3,0,0,0,0,0,0,29,0,0.26,0.4,0.4,0.3,9,5,0.643,1.4,1.2,2.6,DREAMLAND GRAN CANARIA
7,ALEJANDRO MAZAIRA,ZOR,26,31.6,16.0,5.5,13.4,0.413,2.6,7.0,0.366,2.3,2.8,0.824,0.8,3.7,4.5,1.1,0.3,0.2,1.4,1.8,94,ZOR,0.545,0.509,160.3,0.033,0.131,0.083,0.07400000000000001,0.086,0.5,0.6,0.24600000000000002,-2.1,1.2,108.7,110.8,-2.1,202.8,16.7,822.0,PF,ZOR,46,ZOR,1,0,0,0,0,0,0,28,0,0.255,0.8,0.2,0.2,10,16,0.385,2.0,0.1,2.0,ZORNOTZA
8,KYLE CARDACI,ZOR,20,26.1,15.9,5.7,14.2,0.403,2.4,6.8,0.356,2.1,2.7,0.774,0.3,2.4,2.6,2.7,1.0,0.1,2.2,2.4,52,ZOR,0.517,0.488,153.2,0.012,0.10800000000000001,0.061,0.22399999999999998,0.126,0.021,0.4,0.327,-1.6,1.1,101.5,113.5,-11.9,132.1,18.6,521.0,G,ZOR,159,ZOR,0,0,0,0,0,0,0,28,0,0.307,1.2,0.4,0.2,7,13,0.35,0.8,-0.2,0.7,ZORNOTZA
9,IKER MONTERO MECA,CBS,26,27.9,15.8,5.2,15.0,0.344,2.2,8.3,0.27,3.2,4.3,0.743,0.8,2.3,3.2,2.5,1.2,0.0,2.3,2.0,127,CBS,0.467,0.419,135.8,0.032,0.10400000000000001,0.066,0.184,0.12,0.024,0.2,0.312,-2.3,1.1,97.4,111.1,-13.7,154.1,15.4,724.9,G,CBS,309,CBS,0,0,0,0,0,0,0,34,0,0.283,1.1,0.5,0.3,10,16,0.385,0.4,0.1,0.4,Oca Global - Cbsaloua
10,LYSANDER BRACEY,MAG,32,29.3,15.4,5.0,11.8,0.421,2.0,5.9,0.344,3.4,4.0,0.859,0.9,1.8,2.7,2.2,1.3,0.1,2.2,1.9,61,MAG,0.568,0.507,162.4,0.034,0.076,0.054000000000000006,0.147,0.141,0.024,0.4,0.24600000000000002,-2.6,1.3,112.9,104.5,8.4,243.8,18.4,937.0,G,MAG,313,MAG,0,0,0,0,0,0,0,27,0,0.26,1.0,0.6,0.3,19,13,0.594,3.0,1.0,4.0,HUESCA
